@relation 'D-Paraguay'

@attribute NEtapa {1,2,3}
@attribute P01 {Satisfactorio,Insipiente,Ninguno}
@attribute P02 {Satisfactorio,Insipiente,Ninguno}
@attribute P03 {Mucho,Poco}
@attribute P04 {Regular,Suficiente,Insipiente}
@attribute P05 {Suficiente,Insipiente,Regular}
@attribute P06 {Suficiente,Insipiente,Regular}
@attribute P07 {Insipiente,Satisfactorio,Ninguno}
@attribute P08 {Mucho,Poco,Nada}
@attribute P09 numeric
@attribute P10 numeric
@attribute P11 numeric
@attribute P12 numeric
@attribute P13 numeric
@attribute P14 numeric
@attribute P15 numeric
@attribute P16 {Mucho,Poco}
@attribute P18 {Si,No}
@attribute P19 {Conceptual,Procedimental}
@attribute P17 {Sí,'Más o menos'}

@data
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,7,8,8,7,6,8,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Insipiente,Mucho,8,8,8,8,8,8,8,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,9,7,9,9,9,9,10,Mucho,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Poco,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,7,10,10,9,10,10,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Insipiente,Mucho,Suficiente,Regular,Regular,Insipiente,Poco,9,10,9,10,10,10,10,Mucho,Si,Procedimental,'Más o menos'
2,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Ninguno,Nada,3,4,5,7,8,8,9,Poco,Si,Conceptual,'Más o menos'
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,7,9,9,9,9,9,Poco,No,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,10,10,10,10,10,10,Poco,No,Procedimental,'Más o menos'
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,8,9,9,9,9,10,Mucho,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Suficiente,Satisfactorio,Mucho,10,5,10,10,10,10,10,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,8,8,8,9,10,10,10,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,9,9,10,10,9,10,9,Mucho,Si,Procedimental,'Más o menos'
2,Insipiente,Insipiente,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,6,8,7,7,8,8,7,Poco,Si,Conceptual,'Más o menos'
2,Insipiente,Satisfactorio,Poco,Suficiente,Regular,Regular,Satisfactorio,Poco,8,9,9,9,9,9,9,Poco,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,10,10,10,10,10,10,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,8,4,8,7,7,7,7,Mucho,Si,Procedimental,Sí
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,8,9,9,9,8,9,Poco,Si,Procedimental,Sí
2,Insipiente,Satisfactorio,Mucho,Regular,Regular,Regular,Insipiente,Mucho,7,6,6,6,7,6,7,Poco,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,7,9,9,9,9,9,Mucho,No,Procedimental,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,7,6,6,5,5,5,4,Poco,Si,Procedimental,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Suficiente,Insipiente,Mucho,10,10,10,9,9,8,10,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,10,10,10,10,10,10,10,Poco,No,Procedimental,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,8,9,9,9,10,9,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,7,10,10,10,10,10,Mucho,Si,Procedimental,Sí
2,Insipiente,Insipiente,Mucho,Regular,Insipiente,Regular,Insipiente,Mucho,8,8,8,9,9,10,9,Poco,No,Conceptual,'Más o menos'
2,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,10,9,10,10,9,10,10,Poco,Si,Conceptual,'Más o menos'
2,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Regular,Insipiente,Mucho,10,9,10,10,9,9,9,Mucho,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,9,10,10,10,10,9,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Insipiente,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,9,9,9,10,9,10,9,Poco,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Poco,Regular,Regular,Regular,Ninguno,Mucho,9,10,10,9,9,9,9,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Insipiente,Poco,Suficiente,Regular,Regular,Insipiente,Poco,8,8,9,8,8,8,8,Mucho,Si,Conceptual,'Más o menos'
2,Ninguno,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,9,7,9,8,6,7,6,Mucho,No,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,9,9,9,9,9,9,9,Poco,Si,Procedimental,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,3,7,6,6,6,6,Mucho,No,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,10,9,9,10,10,Poco,Si,Conceptual,Sí
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,7,8,9,9,10,10,10,Mucho,Si,Conceptual,'Más o menos'
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,9,9,9,9,Poco,Si,Procedimental,'Más o menos'
2,Insipiente,Ninguno,Poco,Insipiente,Insipiente,Regular,Insipiente,Poco,8,7,8,9,8,8,7,Poco,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,10,10,10,10,10,10,Mucho,Si,Conceptual,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,8,9,9,7,7,7,Mucho,Si,Procedimental,Sí
2,Insipiente,Insipiente,Mucho,Insipiente,Regular,Regular,Insipiente,Mucho,7,6,7,7,6,7,6,Poco,No,Procedimental,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Insipiente,Mucho,10,8,10,10,10,10,10,Mucho,No,Procedimental,'Más o menos'
2,Insipiente,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,10,9,9,9,9,9,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,9,8,10,8,9,9,10,Poco,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Regular,Satisfactorio,Mucho,9,9,9,9,10,10,10,Mucho,Si,Conceptual,'Más o menos'
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,8,8,8,8,9,9,10,Mucho,No,Procedimental,'Más o menos'
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Poco,9,7,8,8,8,7,8,Poco,No,Conceptual,'Más o menos'
2,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,10,9,9,10,10,10,10,Poco,Si,Procedimental,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,9,9,9,9,9,9,9,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,9,9,9,9,9,9,9,Poco,No,Procedimental,'Más o menos'
2,Insipiente,Insipiente,Mucho,Suficiente,Regular,Suficiente,Insipiente,Mucho,7,6,7,8,8,8,9,Poco,Si,Procedimental,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,10,10,10,10,10,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Insipiente,Mucho,Regular,Regular,Suficiente,Insipiente,Mucho,9,8,8,9,10,9,9,Mucho,Si,Conceptual,Sí
2,Insipiente,Insipiente,Mucho,Suficiente,Suficiente,Regular,Insipiente,Poco,8,8,7,7,7,8,7,Mucho,Si,Procedimental,Sí
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,5,10,10,10,10,10,Mucho,Si,Conceptual,Sí
2,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Ninguno,Mucho,7,4,6,5,5,5,5,Poco,No,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,7,9,8,8,8,8,Mucho,Si,Conceptual,'Más o menos'
2,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,8,10,9,9,10,10,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Insipiente,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,6,8,7,5,6,7,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,8,10,9,8,8,8,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,9,7,8,10,10,10,9,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,9,10,9,10,10,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Poco,9,9,10,9,9,10,10,Mucho,Si,Conceptual,Sí
1,Insipiente,Insipiente,Mucho,Regular,Regular,Insipiente,Insipiente,Poco,5,3,6,5,6,6,6,Poco,Si,Procedimental,'Más o menos'
1,Insipiente,Insipiente,Mucho,Suficiente,Regular,Regular,Insipiente,Poco,8,8,7,9,9,9,8,Mucho,Si,Procedimental,'Más o menos'
1,Insipiente,Insipiente,Poco,Suficiente,Regular,Regular,Insipiente,Mucho,8,6,8,10,10,9,9,Poco,Si,Conceptual,'Más o menos'
1,Insipiente,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,10,9,10,10,9,9,9,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Mucho,8,7,8,8,8,6,8,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Insipiente,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,8,7,8,9,10,10,9,Poco,Si,Procedimental,'Más o menos'
1,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,8,4,10,9,7,7,7,Mucho,Si,Conceptual,Sí
1,Insipiente,Ninguno,Mucho,Suficiente,Regular,Regular,Ninguno,Poco,8,8,7,10,10,10,9,Mucho,Si,Procedimental,'Más o menos'
1,Satisfactorio,Insipiente,Poco,Regular,Regular,Regular,Insipiente,Poco,2,0,3,3,6,7,5,Mucho,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Poco,Regular,Regular,Regular,Satisfactorio,Mucho,10,8,10,9,9,10,10,Mucho,Si,Conceptual,Sí
1,Insipiente,Insipiente,Poco,Regular,Regular,Regular,Ninguno,Poco,5,5,8,7,7,7,7,Poco,Si,Conceptual,'Más o menos'
1,Insipiente,Insipiente,Mucho,Regular,Insipiente,Regular,Insipiente,Mucho,8,7,7,9,9,9,8,Poco,No,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,10,8,10,8,8,8,10,Mucho,No,Procedimental,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Suficiente,Satisfactorio,Mucho,9,9,10,10,9,10,8,Mucho,Si,Procedimental,'Más o menos'
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,8,8,10,10,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,8,10,9,10,10,10,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,10,5,10,10,10,10,7,Mucho,Si,Procedimental,Sí
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,7,6,8,7,9,9,9,Mucho,Si,Conceptual,Sí
1,Insipiente,Insipiente,Poco,Regular,Regular,Regular,Insipiente,Poco,10,6,10,10,10,10,10,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Insipiente,Poco,Suficiente,Regular,Regular,Satisfactorio,Poco,7,6,6,8,7,7,6,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,7,4,8,6,5,4,5,Poco,Si,Procedimental,'Más o menos'
1,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,5,9,7,7,7,9,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,8,4,8,8,7,7,7,Mucho,Si,Procedimental,Sí
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Ninguno,Mucho,4,4,6,6,6,7,7,Poco,Si,Procedimental,'Más o menos'
1,Satisfactorio,Insipiente,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,9,8,10,9,9,9,10,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Suficiente,Insipiente,Mucho,8,8,10,8,9,10,10,Poco,No,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Suficiente,Insipiente,Mucho,10,10,10,10,10,10,10,Poco,Si,Conceptual,'Más o menos'
1,Insipiente,Satisfactorio,Mucho,Suficiente,Regular,Suficiente,Satisfactorio,Poco,8,8,9,9,9,9,8,Mucho,Si,Procedimental,'Más o menos'
1,Insipiente,Insipiente,Poco,Regular,Regular,Regular,Insipiente,Mucho,8,7,9,9,9,9,8,Mucho,No,Procedimental,'Más o menos'
1,Insipiente,Ninguno,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,8,10,9,10,10,10,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Mucho,9,7,8,9,9,9,7,Mucho,Si,Conceptual,Sí
1,Ninguno,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,6,6,7,5,6,7,6,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,8,8,10,9,9,9,9,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Insipiente,Mucho,Suficiente,Suficiente,Regular,Satisfactorio,Mucho,10,8,10,10,10,10,10,Mucho,Si,Procedimental,Sí
1,Insipiente,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,8,8,9,9,8,8,7,Poco,Si,Procedimental,'Más o menos'
1,Satisfactorio,Insipiente,Mucho,Regular,Insipiente,Regular,Insipiente,Mucho,9,8,9,10,9,10,10,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,6,5,10,7,7,7,6,Mucho,Si,Conceptual,Sí
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,10,7,8,9,9,8,8,Mucho,Si,Conceptual,'Más o menos'
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Poco,8,7,9,8,8,8,8,Poco,No,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,8,10,10,10,10,10,10,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Poco,Regular,Regular,Regular,Satisfactorio,Mucho,8,7,9,8,8,8,7,Poco,Si,Procedimental,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Poco,9,8,10,8,8,8,9,Mucho,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,8,9,9,9,9,9,9,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,9,10,9,9,10,10,Mucho,Si,Conceptual,'Más o menos'
1,Insipiente,Insipiente,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Mucho,9,9,9,9,9,9,9,Mucho,Si,Procedimental,'Más o menos'
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,7,7,7,8,8,8,8,Mucho,No,Conceptual,'Más o menos'
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,10,9,9,10,9,9,9,Poco,Si,Procedimental,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Regular,Satisfactorio,Mucho,9,8,9,10,10,10,10,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,10,10,10,10,10,10,Mucho,Si,Procedimental,Sí
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,7,6,7,7,6,7,6,Poco,No,Procedimental,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,10,8,10,10,10,10,10,Mucho,Si,Procedimental,'Más o menos'
1,Satisfactorio,Insipiente,Mucho,Regular,Regular,Suficiente,Satisfactorio,Mucho,8,6,10,8,10,9,8,Poco,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,10,10,10,10,10,10,9,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Regular,Suficiente,Suficiente,Satisfactorio,Poco,9,9,9,10,10,9,9,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Mucho,Regular,Insipiente,Insipiente,Insipiente,Mucho,10,7,8,10,10,10,10,Mucho,Si,Conceptual,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,10,9,9,8,9,9,8,Poco,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Mucho,9,8,9,9,9,9,9,Mucho,No,Procedimental,'Más o menos'
1,Insipiente,Insipiente,Poco,Suficiente,Regular,Regular,Insipiente,Mucho,8,7,8,9,9,9,9,Poco,Si,Procedimental,Sí
1,Satisfactorio,Insipiente,Mucho,Regular,Regular,Suficiente,Satisfactorio,Mucho,9,8,9,9,9,9,9,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Insipiente,Mucho,Suficiente,Suficiente,Regular,Insipiente,Mucho,9,8,8,8,7,9,8,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,7,5,9,8,9,9,8,Mucho,Si,Procedimental,Sí
1,Satisfactorio,Satisfactorio,Poco,Suficiente,Suficiente,Suficiente,Satisfactorio,Poco,9,7,9,8,8,8,8,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Satisfactorio,Poco,Regular,Regular,Regular,Satisfactorio,Poco,9,7,9,9,8,9,9,Poco,Si,Conceptual,'Más o menos'
1,Satisfactorio,Insipiente,Mucho,Regular,Regular,Suficiente,Insipiente,Mucho,8,8,8,8,9,9,9,Mucho,No,Procedimental,'Más o menos'
1,Insipiente,Insipiente,Poco,Regular,Regular,Regular,Ninguno,Poco,5,4,6,5,4,4,5,Poco,No,Conceptual,'Más o menos'
1,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,5,4,5,5,5,5,5,Poco,Si,Conceptual,'Más o menos'
3,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,8,8,8,10,10,10,10,Poco,No,Procedimental,'Más o menos'
3,Insipiente,Insipiente,Mucho,Suficiente,Regular,Regular,Ninguno,Mucho,9,10,9,9,10,10,10,Mucho,Si,Conceptual,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,9,9,10,10,10,10,10,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,9,9,9,9,9,10,10,Mucho,Si,Conceptual,'Más o menos'
3,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,10,8,9,8,9,9,9,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,8,8,8,9,9,10,8,Mucho,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Insipiente,Poco,9,9,10,10,8,8,8,Mucho,Si,Procedimental,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,9,8,10,9,8,10,10,Mucho,Si,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,9,9,10,10,Poco,No,Conceptual,'Más o menos'
3,Satisfactorio,Insipiente,Mucho,Suficiente,Suficiente,Regular,Insipiente,Mucho,9,6,10,8,9,7,7,Mucho,No,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,8,6,9,9,9,9,9,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Insipiente,Mucho,Suficiente,Regular,Regular,Insipiente,Mucho,7,7,8,7,7,7,8,Mucho,Si,Conceptual,Sí
3,Insipiente,Insipiente,Mucho,Regular,Insipiente,Insipiente,Insipiente,Mucho,6,3,7,7,8,8,8,Poco,Si,Conceptual,'Más o menos'
3,Satisfactorio,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,8,8,8,8,10,9,9,Mucho,Si,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,9,9,9,9,9,9,9,Mucho,Si,Procedimental,Sí
3,Insipiente,Insipiente,Mucho,Regular,Suficiente,Suficiente,Insipiente,Mucho,6,6,6,8,8,8,9,Poco,Si,Procedimental,'Más o menos'
3,Satisfactorio,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Poco,5,3,6,5,4,5,5,Poco,No,Conceptual,'Más o menos'
3,Satisfactorio,Insipiente,Poco,Regular,Regular,Regular,Insipiente,Mucho,10,10,10,10,10,10,10,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Regular,Regular,Regular,Satisfactorio,Mucho,9,7,8,9,9,10,9,Mucho,Si,Procedimental,Sí
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Regular,Regular,Satisfactorio,Mucho,10,10,10,10,10,10,10,Mucho,Si,Conceptual,Sí
3,Insipiente,Insipiente,Mucho,Regular,Regular,Regular,Insipiente,Mucho,5,5,5,8,6,6,6,Poco,Si,Conceptual,'Más o menos'
3,Satisfactorio,Satisfactorio,Mucho,Suficiente,Suficiente,Suficiente,Satisfactorio,Mucho,9,9,9,9,10,10,10,Mucho,Si,Conceptual,Sí
